name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
SOUTHVIEW,SOV,1987,2289,825,2.77,
MANCHESTER,MAN,1996,234,146,1.6,
PARKDALE,PKD,1990,1688,804,2.1,
NEW BRIGHTON,NEB,2012,8303,2927,2.84,
SILVERADO,SVO,1995,11,6,1.83,
ELBOW PARK,EPK,2013,3468,1111,3.12,
UNIVERSITY DISTRICT,UND,1969,0,0,0,
WALDEN,WAL,2009,0,0,0,
BRAESIDE,BRA,2007,6096,2504,2.43,
QUEENS PARK VILLAGE,QPK,1975,0,0,0,
GLENDALE,GDL,1974,3426,954,3.59,
SADDLE RIDGE,SAD,1979,129,36,3.58,
PATTERSON,PAT,2010,4154,1923,2.16,
GARRISON WOODS,GAW,2015,0,0,0,
WESTGATE,WGT,1984,3699,1294,2.86,
MISSION,MIS,1971,3757,1851,2.03,
CRANSTON,CRA,1991,16,6,2.67,
GARRISON GREEN,GAG,2017,2093,710,2.95,
GLENDALE,GDL,1968,3924,945,4.15,
ACADIA,ACA,1984,11197,4116,2.72,
BAYVIEW,BYV,1994,718,240,2.99,
MACEWAN GLEN,MAC,2004,5483,1749,3.13,
RED CARPET,RED,1987,1167,445,2.62,
UPPER MOUNT ROYAL,UMR,1999,2638,1017,2.59,
CRESCENT HEIGHTS,CRE,2008,5982,3310,1.81,
ERLTON,ERL,1998,551,260,2.12,
ST. ANDREWS HEIGHTS,STA,2007,1512,573,2.64,
ARBOUR LAKE,ARB,1994,1218,402,3.03,
FAIRVIEW,FAI,2016,3847,1560,2.47,
MACEWAN GLEN,MAC,1983,809,280,2.89,
CURRIE BARRACKS,CUR,2012,172,,,
BRIDLEWOOD,BRI,1992,18,7,2.57,
NORTH GLENMORE PARK,NGM,2014,2380,955,2.49,
SADDLE RIDGE,SAD,2012,14372,3585,4.01,
COPPERFIELD,CPF,2008,4672,1725,2.71,
SETON,SET,1999,0,0,0,
SPRUCE CLIFF,SPR,2004,2976,1356,2.19,
SHAGANAPPI,SHG,2014,1530,719,2.13,
MAYLAND HEIGHTS,MAL,1980,5754,1837,3.13,
DOWNTOWN WEST END,DNW,2010,2490,1529,1.63,
OAKRIDGE,OAK,1983,7140,2079,3.43,
ROCKY RIDGE,ROC,1992,139,48,2.9,
UPPER MOUNT ROYAL,UMR,1977,2840,1039,2.73,
SHAGANAPPI,SHG,1997,1726,799,2.16,
BELVEDERE,BVD,2016,0,0,0,
SPRINGBANK HILL,SPH,1986,0,0,0,
KINGSLAND,KIN,2008,4373,2197,1.99,
BRITANNIA,BRT,1997,764,303,2.52,
RIVERBEND,RIV,1978,158,59,2.68,
BEDDINGTON HEIGHTS,BED,2002,12790,4188,3.05,
